date,cb_score,hawkish_count,dovish_count,total_words
1994-05-17,0.13513513513513514,6,1,37
1994-08-16,0.1794871794871795,8,1,39
1994-11-15,0.16216216216216217,7,1,37
1995-07-06,0.0851063829787234,6,2,47
1995-12-19,0.05,4,2,40
1997-03-25,0.07894736842105263,6,3,38
1998-09-29,0.0,4,4,46
1998-10-15,-0.02127659574468085,3,4,47
1998-11-17,0.0,2,2,38
1999-06-30,0.21875,7,0,32
1999-08-24,0.16666666666666666,7,1,36
1999-11-16,0.22580645161290322,8,1,31
2000-02-02,0.21875,8,1,32
2000-03-21,0.2,7,1,30
2000-05-16,0.1724137931034483,6,1,29
2000-06-28,0.14814814814814814,5,1,27
2001-01-31,0.023809523809523808,3,2,42
2001-03-20,0.07692307692307693,5,2,39
2001-08-21,0.0,3,3,30
2001-09-17,0.030303030303030304,2,1,33
2001-12-11,0.0,3,3,30
2003-01-29,-0.011627906976744186,9,11,172
2003-03-18,0.008733624454148471,11,9,229
2003-06-25,0.13043478260869565,7,1,46
2003-08-12,0.018604651162790697,17,13,215
2003-09-16,0.014150943396226415,17,14,212
2004-01-28,0.0,14,14,205
2004-03-16,-0.004901960784313725,15,16,204
2004-08-10,-0.037037037037037035,4,5,27
2004-09-21,0.021505376344086023,21,15,279
2004-11-10,0.01532567049808429,19,15,261
2004-12-14,0.0,4,4,35
2005-02-02,0.00749063670411985,19,17,267
2005-05-03,0.010416666666666666,22,19,288
2005-08-09,0.007246376811594203,22,20,276
2005-09-20,0.019553072625698324,27,20,358
2005-11-01,0.014234875444839857,21,17,281
2005-12-13,-0.05263157894736842,3,5,38
2006-01-31,0.037209302325581395,16,8,215
2006-03-28,0.043478260869565216,22,10,276
2006-05-10,0.04054054054054054,23,11,296
2006-06-29,0.053003533568904596,26,11,283
2006-08-08,0.06074766355140187,23,10,214
2006-09-20,0.054187192118226604,21,10,203
2006-10-25,0.05314009661835749,20,9,207
2006-12-12,0.04608294930875576,20,10,217
2007-01-31,0.046511627906976744,14,6,172
2007-03-21,0.012345679012345678,12,10,162
2007-05-09,0.024844720496894408,13,9,161
2007-08-07,0.03431372549019608,21,14,204
2007-08-17,-0.03296703296703297,4,10,182
2007-09-18,0.0,14,14,254
2007-10-31,0.023333333333333334,22,15,300
2007-12-11,0.021739130434782608,21,15,276
2008-01-29,-0.02,0,3,150
2008-01-30,-0.020080321285140562,10,15,249
2008-03-18,0.034722222222222224,26,16,288
2008-04-30,0.006600660066006601,21,19,303
2008-06-25,0.04048582995951417,27,17,247
2008-08-05,0.05785123966942149,27,13,242
2008-09-16,0.04090909090909091,22,13,220
2008-10-28,-0.03292181069958848,2,10,243
2008-10-29,-0.017482517482517484,12,17,286
2008-12-16,-0.022589052997393572,12,38,1151
2009-01-28,-0.04801670146137787,23,46,479
2009-03-18,-0.04018912529550828,18,35,423
2009-04-29,-0.051643192488262914,16,38,426
2009-06-24,-0.04497354497354497,13,30,378
2009-08-12,-0.047619047619047616,15,35,420
2009-09-23,-0.042352941176470586,19,37,425
2009-11-03,-0.016,0,2,125
2009-11-04,-0.040948275862068964,22,41,464
2009-12-15,-0.016,0,2,125
2009-12-16,-0.035398230088495575,24,44,565
2010-01-27,-0.03669724770642202,24,44,545
2010-03-16,-0.03139013452914798,25,39,446
2010-04-28,-0.019417475728155338,27,35,412
2010-06-23,-0.016574585635359115,30,36,362
2010-08-10,-0.03870967741935484,28,46,465
2010-09-21,-0.03263403263403263,31,45,429
2010-11-03,-0.012170385395537525,38,44,493
2010-12-14,-0.02032520325203252,37,47,492
2011-01-26,-0.020594965675057208,31,40,437
2011-03-15,-0.004310344827586207,37,39,464
2011-04-27,-0.00646551724137931,36,39,464
2011-06-22,-0.006535947712418301,31,34,459
2011-08-09,-0.011385199240986717,35,41,527
2011-09-20,-0.021739130434782608,0,3,138
2011-09-21,-0.031879194630872486,35,54,596
2011-11-02,0.0,38,38,493
2011-12-13,-0.013729977116704805,30,36,437
