date,cb_score_v2,hawkish_words,dovish_words,hawkish_phrases,dovish_phrases,hawkish_total,dovish_total,total_words
1994-05-17,0.16216216216216217,6,2,3,1,9,3,37
1994-08-16,0.20512820512820512,7,2,3,0,10,2,39
1994-11-15,0.1891891891891892,7,2,3,1,10,3,37
1995-07-06,-0.0425531914893617,4,6,1,1,5,7,47
1995-12-19,-0.025,3,4,1,1,4,5,40
1997-03-25,0.07894736842105263,5,4,2,0,7,4,38
1998-09-29,-0.043478260869565216,4,5,0,1,4,6,46
1998-10-15,-0.0425531914893617,3,4,0,1,3,5,47
1998-11-17,-0.02631578947368421,2,2,0,1,2,3,38
1999-06-30,0.21875,6,1,2,0,8,1,32
1999-08-24,0.16666666666666666,6,2,2,0,8,2,36
1999-11-16,0.1935483870967742,6,1,2,1,8,2,31
2000-02-02,0.25,7,1,2,0,9,1,32
2000-03-21,0.16666666666666666,6,1,1,1,7,2,30
2000-05-16,0.27586206896551724,6,0,2,0,8,0,29
2000-06-28,0.18518518518518517,5,1,1,0,6,1,27
2001-01-31,-0.047619047619047616,3,4,0,1,3,5,42
2001-03-20,0.0,5,3,0,2,5,5,39
2001-08-21,-0.03333333333333333,3,3,0,1,3,4,30
2001-09-17,-0.06060606060606061,2,2,0,2,2,4,33
2001-12-11,-0.03333333333333333,3,3,0,1,3,4,30
2003-01-29,-0.03488372093023256,6,11,0,1,6,12,172
2003-03-18,-0.021834061135371178,7,11,0,1,7,12,229
2003-06-25,0.06521739130434782,6,2,0,1,6,3,46
2003-08-12,-0.023255813953488372,13,15,1,4,14,19,215
2003-09-16,-0.02358490566037736,13,16,2,4,15,20,212
2004-01-28,-0.04390243902439024,10,16,1,4,11,20,205
2004-03-16,-0.058823529411764705,11,18,0,5,11,23,204
2004-08-10,-0.1111111111111111,3,5,0,1,3,6,27
2004-09-21,-0.021505376344086023,13,17,2,4,15,21,279
2004-11-10,-0.019157088122605363,12,16,2,3,14,19,261
2004-12-14,-0.02857142857142857,4,4,0,1,4,5,35
2005-02-02,-0.0299625468164794,12,18,1,3,13,21,267
2005-05-03,-0.03819444444444445,13,21,1,4,14,25,288
2005-08-09,-0.028985507246376812,15,21,1,3,16,24,276
2005-09-20,-0.019553072625698324,18,21,2,6,20,27,358
2005-11-01,-0.021352313167259787,14,18,2,4,16,22,281
2005-12-13,-0.05263157894736842,3,5,1,1,4,6,38
2006-01-31,0.013953488372093023,11,9,3,2,14,11,215
2006-03-28,0.025362318840579712,17,11,3,2,20,13,276
2006-05-10,0.033783783783783786,19,11,5,3,24,14,296
2006-06-29,0.05653710247349823,23,11,6,2,29,13,283
2006-08-08,0.06074766355140187,20,10,5,2,25,12,214
2006-09-20,0.054187192118226604,17,10,5,1,22,11,203
2006-10-25,0.043478260869565216,17,12,5,1,22,13,207
2006-12-12,0.03686635944700461,17,13,5,1,22,14,217
2007-01-31,0.06395348837209303,14,9,6,0,20,9,172
2007-03-21,0.0,11,12,1,0,12,12,162
2007-05-09,0.006211180124223602,12,12,1,0,13,12,161
2007-08-07,0.00980392156862745,18,16,2,2,20,18,204
2007-08-17,-0.06593406593406594,0,11,0,1,0,12,182
2007-09-18,-0.015748031496062992,11,13,2,4,13,17,254
2007-10-31,-0.016666666666666666,16,18,2,5,18,23,300
2007-12-11,-0.014492753623188406,16,15,1,6,17,21,276
2008-01-29,-0.02666666666666667,0,3,0,1,0,4,150
2008-01-30,-0.03614457831325301,8,14,1,4,9,18,249
2008-03-18,-0.010416666666666666,20,18,1,6,21,24,288
2008-04-30,-0.033003300330033,16,22,1,5,17,27,303
2008-06-25,-0.004048582995951417,21,18,2,6,23,24,247
2008-08-05,0.01652892561983471,21,14,1,4,22,18,242
2008-09-16,0.004545454545454545,19,15,1,4,20,19,220
2008-10-28,-0.037037037037037035,2,10,0,1,2,11,243
2008-10-29,-0.07342657342657342,6,21,0,6,6,27,286
2008-12-16,-0.030408340573414423,5,36,2,6,7,42,1151
