date,lm_pct_full,lm_pos,lm_neg,total_words
1994-05-17,-2.7027027027027026,0,1,37
1994-08-16,-2.564102564102564,1,2,39
1994-11-15,0.0,1,1,37
1995-07-06,-2.127659574468085,0,1,47
1995-12-19,-5.0,0,2,40
1997-03-25,0.0,1,1,38
1998-09-29,-4.3478260869565215,0,2,46
1998-10-15,-10.638297872340425,0,5,47
1998-11-17,-2.631578947368421,0,1,38
1999-06-30,0.0,1,1,32
1999-08-24,-2.7777777777777777,0,1,36
1999-11-16,-3.225806451612903,0,1,31
2000-02-02,-3.125,0,1,32
2000-03-21,-3.3333333333333335,0,1,30
2000-05-16,0.0,0,0,29
2000-06-28,-3.7037037037037033,0,1,27
2001-01-31,-4.761904761904762,0,2,42
2001-03-20,-7.6923076923076925,0,3,39
2001-08-21,-3.3333333333333335,0,1,30
2001-09-17,0.0,0,0,33
2001-12-11,-3.3333333333333335,0,1,30
2003-01-29,0.5813953488372093,2,1,172
2003-03-18,0.8733624454148471,3,1,229
2003-06-25,0.0,1,1,46
2003-08-12,-0.46511627906976744,1,2,215
2003-09-16,-0.9433962264150944,1,3,212
2004-01-28,0.0,2,2,205
2004-03-16,-1.9607843137254901,1,5,204
2004-08-10,0.0,0,0,27
2004-09-21,2.1505376344086025,6,0,279
2004-11-10,1.9157088122605364,5,0,261
2004-12-14,0.0,0,0,35
2005-02-02,1.8726591760299627,5,0,267
2005-05-03,1.0416666666666665,4,1,288
2005-08-09,2.1739130434782608,6,0,276
2005-09-20,-0.8379888268156425,5,8,358
2005-11-01,0.3558718861209964,3,2,281
2005-12-13,0.0,0,0,38
2006-01-31,0.9302325581395349,2,0,215
2006-03-28,1.0869565217391304,4,1,276
2006-05-10,0.6756756756756757,3,1,296
2006-06-29,0.7067137809187279,3,1,283
2006-08-08,-0.46728971962616817,1,2,214
2006-09-20,-0.49261083743842365,0,1,203
2006-10-25,-0.966183574879227,0,2,207
2006-12-12,-0.9216589861751152,0,2,217
2007-01-31,1.1627906976744187,2,0,172
2007-03-21,-1.2345679012345678,0,2,162
2007-05-09,-1.8633540372670807,0,3,161
2007-08-07,-1.4705882352941175,1,4,204
2007-08-17,0.5494505494505495,1,0,182
2007-09-18,-1.1811023622047243,2,5,254
2007-10-31,-1.6666666666666667,2,7,300
2007-12-11,-1.0869565217391304,2,5,276
2008-01-29,0.0,1,1,150
2008-01-30,-1.2048192771084338,0,3,249
2008-03-18,-2.083333333333333,1,7,288
2008-04-30,-1.3201320132013201,2,6,303
2008-06-25,-1.6194331983805668,1,5,247
2008-08-05,-1.6528925619834711,1,5,242
2008-09-16,-2.727272727272727,1,7,220
2008-10-28,0.0,0,0,243
2008-10-29,-1.048951048951049,4,7,286
2008-12-16,0.3475238922675934,12,8,1151
2009-01-28,0.20876826722338201,8,7,479
2009-03-18,-0.4728132387706856,6,8,423
2009-04-29,0.0,9,9,426
2009-06-24,1.0582010582010581,9,5,378
2009-08-12,1.1904761904761905,10,5,420
2009-09-23,0.9411764705882352,12,8,425
2009-11-03,0.0,1,1,125
2009-11-04,1.0775862068965518,11,6,464
2009-12-15,0.0,1,1,125
2009-12-16,1.0619469026548671,13,7,565
2010-01-27,1.1009174311926606,11,5,545
2010-03-16,0.8968609865470852,11,7,446
2010-04-28,0.7281553398058253,10,7,412
2010-06-23,0.2762430939226519,8,7,362
2010-08-10,0.21505376344086022,7,6,465
2010-09-21,-0.2331002331002331,7,8,429
2010-11-03,-0.6085192697768762,9,12,493
2010-12-14,-0.8130081300813009,10,14,492
2011-01-26,0.2288329519450801,10,9,437
2011-03-15,1.0775862068965518,9,4,464
2011-04-27,1.0775862068965518,9,4,464
2011-06-22,-1.3071895424836601,5,11,459
2011-08-09,-1.5180265654648957,6,14,527
2011-09-20,0.0,0,0,138
2011-09-21,-1.006711409395973,7,13,596
2011-11-02,-0.4056795131845842,7,9,493
2011-12-13,0.0,7,7,437
2012-01-25,-0.2352941176470588,8,9,425
2012-03-13,0.2304147465437788,8,7,434
2012-04-25,0.6772009029345373,10,7,443
2012-06-20,-0.7905138339920948,9,13,506
2012-08-01,-0.21598272138228944,10,11,463
2012-09-13,0.8787346221441126,15,10,569
2012-10-24,0.9009009009009009,15,10,555
2012-12-12,0.7163323782234957,15,10,698
2013-01-30,0.3048780487804878,12,10,656
2013-03-20,0.6125574272588056,12,8,653
2013-05-01,0.5891016200294551,12,8,679
2013-06-19,0.2828854314002829,12,10,707
2013-07-31,0.28169014084507044,12,10,710
2013-09-18,0.4920049200492005,16,12,813
2013-10-30,0.37926675094816686,14,11,791
2013-12-18,0.11198208286674133,15,14,893
2014-01-29,0.46728971962616817,15,11,856
2014-03-18,0.0,0,0,95
2014-03-19,0.44198895027624313,15,11,905
2014-04-30,0.8353221957040573,15,8,838
2014-06-17,0.0,0,0,95
2014-06-18,1.3333333333333335,16,5,825
2014-07-30,0.7954545454545454,17,10,880
2014-09-17,1.0822510822510822,19,9,924
2014-10-29,0.5376344086021506,14,10,744
2014-12-17,0.4010695187165776,13,10,748
2015-01-28,0.5172413793103449,13,10,580
2015-03-18,0.6745362563237773,13,9,593
2015-04-29,-0.17543859649122806,9,10,570
2015-06-17,1.0810810810810811,11,5,555
2015-07-29,0.9107468123861567,11,6,549
2015-09-17,0.5025125628140703,11,8,597
2015-10-28,0.5102040816326531,10,7,588
2015-12-16,0.4983388704318937,10,7,602
2016-01-27,0.25078369905956116,20,16,1595
2016-03-16,0.49813200498132004,21,13,1606
2016-04-27,0.4345127250155183,21,14,1611
2016-06-15,0.12682308180088775,20,18,1577
2016-07-27,0.24984384759525297,19,15,1601
2016-09-21,0.36607687614399026,20,14,1639
2016-11-02,0.4286589099816289,20,13,1633
2016-12-14,0.3811944091486658,18,12,1574
2017-02-01,0.5855562784645413,18,9,1537
2017-03-15,0.5131494547787042,17,9,1559
2017-05-03,0.3215434083601286,17,12,1555
2017-06-14,0.3778337531486146,17,11,1588
2017-07-26,0.45425048669695006,17,10,1541
2017-09-20,0.25510204081632654,18,14,1568
2017-11-01,0.258732212160414,17,13,1546
2017-12-13,0.3289473684210526,17,12,1520
2018-01-31,0.6189821182943603,17,8,1454
2018-03-21,0.8102633355840648,20,8,1481
2018-05-02,0.6877579092159559,18,8,1454
2018-06-13,0.5921539600296076,17,9,1351
2018-08-01,0.7468259895444361,18,8,1339
2018-09-26,0.680786686838124,17,8,1322
2018-11-08,0.599250936329588,17,9,1335
2018-12-19,0.6607929515418502,17,8,1362
2019-01-30,0.5878030859662012,16,8,1361
2019-03-20,0.29048656499636893,15,11,1377
2019-05-01,0.36954915003695493,15,10,1353
2019-06-19,0.43227665706051877,16,10,1388
2019-07-31,0.4878048780487805,16,9,1435
2019-09-18,0.4936530324400564,17,10,1418
2019-10-11,-0.2728512960436562,2,4,733
2019-10-30,0.4344677769732078,16,10,1381
2019-12-11,0.5204460966542751,16,9,1345
2020-01-29,0.6369426751592357,4,2,314
2020-03-03,0.5203816131830009,14,8,1153
2020-03-15,0.8025682182985553,10,5,623
2020-03-23,0.18018018018018017,3,2,555
2020-04-29,0.06858710562414265,17,16,1458
2020-06-10,0.2737850787132101,18,14,1461
2020-07-28,0.8108108108108109,3,0,370
2020-07-29,0.33738191632928477,18,13,1482
2020-09-16,0.9375,5,2,320
2020-11-05,0.4149377593360996,2,1,241
2020-12-16,1.1811023622047243,4,1,254
2021-01-27,1.1583011583011582,4,1,259
2021-03-17,1.1583011583011582,4,1,259
2021-04-28,1.1583011583011582,4,1,259
2021-06-16,1.1583011583011582,4,1,259
2021-07-28,1.7857142857142856,6,1,280
2021-09-22,1.718213058419244,6,1,291
2021-11-03,0.5524861878453038,3,1,362
2021-12-15,0.5784061696658097,23,14,1556
2022-01-26,0.46728971962616817,2,1,214
2022-02-18,-1.5384615384615385,1,8,455
2022-03-16,0.36231884057971014,18,13,1380
2022-05-04,0.211864406779661,17,14,1416
2022-06-15,0.07137758743754462,15,14,1401
2022-07-27,0.2223869532987398,15,12,1349
2022-09-21,0.2222222222222222,15,12,1350
2022-11-02,0.1422475106685633,16,14,1406
2022-12-14,0.1422475106685633,16,14,1406
