fomc,ns,target,path,ff.shock.0,date,cb_score_v2,hawkish_words,dovish_words,hawkish_phrases,dovish_phrases,hawkish_total,dovish_total,total_words,date_lm,lm_pct_full,date_llm,hawkish_score,fg_strength,regime,lm_std,cb_std,combined_v2
2006-01-31,0.7823846582363789,0.3987485911527393,0.7046261016213693,0.004999999999999005,2006-01-31,0.013953488372093023,11,9,3,2,14,11,215,2006-01-31,0.9302325581395348,2006-01-31,78,85,unchanged,0.8419317445001294,1.6650484223898456,1.2534900834449876
2006-03-28,1.1431008298677565,0.26005393419158845,1.2408831138111704,0.004999999999999005,2006-03-28,0.025362318840579712,17,11,3,2,20,13,276,2006-03-28,1.0869565217391304,2006-03-28,78,85,unchanged,1.033448023762081,2.0214462157408635,1.5274471197514723
2006-05-10,1.2008527988628235,0.22892216759513706,1.351522891856268,0.0,2006-05-10,0.033783783783783786,19,11,5,3,24,14,296,2006-05-10,0.6756756756756757,2006-05-10,78,65,unchanged,0.5308638907381285,2.2845223943931177,1.407693142565623
2006-06-29,-0.6100387513082035,-0.3653419077791956,-0.5109498630665854,-0.014999999999998792,2006-06-29,0.05653710247349823,23,11,6,2,29,13,283,2006-06-29,0.7067137809187279,2006-06-29,78,65,cut,0.5687923752848629,2.995308008643931,1.782050191964397
2006-08-08,-0.5217524044892712,-0.7847773713587116,-0.015180901610976903,-0.04717391304347247,2006-08-08,0.06074766355140187,20,10,5,2,25,12,214,2006-08-08,-0.4672897196261681,2006-08-08,72,68,cut,-0.8658368741341769,3.1268407438422994,1.1305019348540613
2006-09-20,0.48584248069225194,-0.24931784616791844,0.8005542769371179,-0.01499999999999968,2006-09-20,0.054187192118226604,17,10,5,1,22,11,203,2006-09-20,-0.4926108374384236,2006-09-20,72,68,cut,-0.8967792147869832,2.9218997072843083,1.0125602462486625
2006-10-25,-0.07802086690256703,0.09738052070768824,-0.14918266409085695,-0.004999999999999893,2006-10-25,0.043478260869565216,17,12,5,1,22,13,207,2006-10-25,-0.966183574879227,2006-10-25,72,68,unchanged,-1.4754838783971735,2.587365902376527,0.5559410119896767
2006-12-12,-0.6171779321467659,0.24998005526174252,-0.9153911285242337,0.0,2006-12-12,0.03686635944700461,17,13,5,1,22,14,217,2006-12-12,-0.9216589861751152,2006-12-12,72,68,unchanged,-1.4210749458483147,2.3808182563786255,0.4798716552651554
2007-01-31,-0.06616160889150553,-0.059976111901211666,-0.05562776515656611,0.0,2007-01-31,0.06395348837209303,14,9,6,0,20,9,172,2007-01-31,1.162790697674419,2007-01-31,72,68,unchanged,1.1261171911468963,3.2269867575042768,2.1765519743255863
2007-03-21,-1.6240139388677237,0.5023512891228746,-2.41993536336332,0.01549999999999967,2007-03-21,0.0,11,12,1,0,12,12,162,2007-03-21,-1.2345679012345678,2007-03-21,78,85,hike,-1.803448832927795,1.2291586544509345,-0.2871450892384302
