fomc_date,stmt_min_div,stmt_stance,min_stance,avg_min_car,abs_min_car
2006-01-31,0.0,1.0,1.0,7.53027690708114e-18,7.53027690708114e-18
2006-03-28,0.0,1.0,1.0,-2.8386384152347754e-18,2.8386384152347754e-18
2006-05-10,1.0,1.0,0.0,-3.3905958848637594e-18,3.3905958848637594e-18
2006-08-08,1.0,1.0,0.0,-1.4981702747072425e-18,1.4981702747072425e-18
2006-10-25,1.0,1.0,0.0,5.519574696289841e-19,5.519574696289841e-19
2006-12-12,1.0,1.0,0.0,-1.6558724088869523e-18,1.6558724088869523e-18
2007-05-09,2.0,1.0,-1.0,1.9909894440188354e-18,1.9909894440188354e-18
2007-09-18,0.0,-1.0,-1.0,2.996340549414485e-18,2.996340549414485e-18
2007-12-11,0.0,-1.0,-1.0,-2.365532012695646e-18,2.365532012695646e-18
2008-03-18,0.0,-1.0,-1.0,1.261617073437678e-18,1.261617073437678e-18
2008-04-30,0.0,-1.0,-1.0,9.935234453321714e-18,9.935234453321714e-18
2008-12-16,0.0,-1.0,-1.0,-5.046468293750712e-18,5.046468293750712e-18
2009-01-28,0.0,-1.0,-1.0,3.0909618299223105e-17,3.0909618299223105e-17
2009-04-29,0.0,-1.0,-1.0,1.0250638721681133e-18,1.0250638721681133e-18
2009-08-12,0.0,-1.0,-1.0,1.261617073437678e-18,1.261617073437678e-18
2009-09-23,0.0,-1.0,-1.0,-7.175447105176794e-18,7.175447105176794e-18
2010-03-16,1.0,-1.0,0.0,-1.5770213417970973e-18,1.5770213417970973e-18
2010-06-23,1.0,-1.0,0.0,2.365532012695646e-18,2.365532012695646e-18
2010-08-10,0.0,-1.0,-1.0,-5.5195746962898405e-18,5.5195746962898405e-18
2010-09-21,0.0,-1.0,-1.0,1.261617073437678e-18,1.261617073437678e-18
2010-11-03,0.0,-1.0,-1.0,2.6809362810550654e-18,2.6809362810550654e-18
2010-12-14,0.0,-1.0,-1.0,1.5927915552150683e-17,1.5927915552150683e-17
2011-01-26,0.0,-1.0,-1.0,-1.1433404728028955e-18,1.1433404728028955e-18
2011-03-15,0.0,-1.0,-1.0,0.0,0.0
2011-04-27,1.0,-1.0,0.0,-3.3117448177739046e-18,3.3117448177739046e-18
2011-06-22,1.0,-1.0,0.0,0.0,0.0
2011-08-09,0.0,-1.0,-1.0,-5.085893827295639e-18,5.085893827295639e-18
2011-09-21,0.0,-1.0,-1.0,1.4193192076173877e-18,1.4193192076173877e-18
2011-11-02,0.0,-1.0,-1.0,6.662915169092736e-18,6.662915169092736e-18
2011-12-13,0.0,-1.0,-1.0,6.465787501368099e-18,6.465787501368099e-18
2012-01-25,1.0,-1.0,0.0,-2.0501277443362267e-18,2.0501277443362267e-18
2012-03-13,1.0,-1.0,0.0,1.2221915398927505e-18,1.2221915398927505e-18
2012-04-25,1.0,-1.0,0.0,-4.13968102221738e-18,4.13968102221738e-18
2012-06-20,1.0,-1.0,0.0,-6.662915169092736e-18,6.662915169092736e-18
2012-08-01,0.0,-1.0,-1.0,5.677276830469551e-18,5.677276830469551e-18
2012-09-13,0.0,-1.0,-1.0,-4.888766159571002e-18,4.888766159571002e-18
2012-10-24,1.0,-1.0,0.0,7.096596038086938e-18,7.096596038086938e-18
