date,lm_pct,sentiment_category,policy_rate_change,minutes_total_words,minutes_pos_count,minutes_neg_count,minutes_lm_pct,minutes_net_sentiment,minutes_sentiment_category
1996-01-31,5.2632,Dovish,,534,10,4,1.8727,1.1236,Dovish
1996-12-17,8.2949,Dovish,,3950,89,43,2.2532,1.1646,Dovish
1997-03-25,10.828,Dovish,,4174,97,54,2.3239,1.0302,Dovish
1997-07-02,10.0,Dovish,,5392,128,37,2.3739,1.6877,Dovish
1997-09-30,4.8096,Dovish,,4048,95,39,2.3468,1.3834,Dovish
1997-11-12,5.8376,Dovish,,3892,97,47,2.4923,1.2847,Dovish
1998-09-29,1.1628,Neutral,,5144,96,106,1.8663,-0.1944,Dovish
1998-11-17,-1.2346,Hawkish,,6025,95,99,1.5768,-0.0664,Dovish
1998-11-18,0.0,Neutral,,6025,95,99,1.5768,-0.0664,Dovish
1998-11-19,0.0,Neutral,,6025,95,99,1.5768,-0.0664,Dovish
1999-05-18,16.763,Dovish,,3981,104,38,2.6124,1.6579,Dovish
1999-06-30,15.0838,Dovish,,5589,145,41,2.5944,1.8608,Dovish
1999-08-24,9.8712,Dovish,,4519,116,62,2.5669,1.195,Dovish
1999-10-05,0.8475,Neutral,,4118,97,43,2.3555,1.3113,Dovish
1999-11-16,1.227,Neutral,,4287,97,33,2.2627,1.4929,Dovish
1999-11-17,0.0,Neutral,,4287,97,33,2.2627,1.4929,Dovish
1999-11-18,-0.5935,Hawkish,,4287,97,33,2.2627,1.4929,Dovish
1999-12-21,8.1871,Dovish,,4243,94,32,2.2154,1.4612,Dovish
2000-02-02,1.8692,Neutral,,4609,121,34,2.6253,1.8876,Dovish
2000-03-21,1.3636,Neutral,,3159,83,24,2.6274,1.8677,Dovish
2000-05-16,2.3364,Neutral,,3414,88,29,2.5776,1.7282,Dovish
2000-06-28,5.4054,Dovish,,3864,80,34,2.0704,1.1905,Dovish
2000-08-22,5.8511,Dovish,,3861,83,44,2.1497,1.0101,Dovish
2000-12-19,11.4943,Dovish,,4789,88,91,1.8375,-0.0626,Dovish
2001-01-31,1.444,Neutral,,4332,74,92,1.7082,-0.4155,Dovish
2001-03-20,-1.5686,Hawkish,,4381,74,81,1.6891,-0.1598,Dovish
2001-05-15,4.3165,Dovish,,4467,92,93,2.0595,-0.0224,Dovish
2001-06-27,1.3216,Neutral,,4476,74,97,1.6533,-0.5139,Dovish
2001-08-21,0.8929,Neutral,,4376,69,113,1.5768,-1.0055,Dovish
2001-11-06,2.5641,Neutral,,3796,44,106,1.1591,-1.6333,Neutral
2001-12-11,4.6512,Dovish,,4106,61,101,1.4856,-0.9742,Neutral
2002-01-30,11.2583,Dovish,,4052,75,87,1.8509,-0.2962,Dovish
2002-03-19,8.7591,Dovish,,3828,100,59,2.6123,1.0711,Dovish
2003-01-29,8.5106,Dovish,,3544,69,60,1.947,0.254,Dovish
2003-03-18,9.3878,Dovish,,3268,59,59,1.8054,0.0,Dovish
2003-06-25,5.414,Dovish,,4157,76,84,1.8282,-0.1924,Dovish
2003-08-12,7.7922,Dovish,,3395,74,52,2.1797,0.648,Dovish
2003-09-16,6.5789,Dovish,,3593,90,48,2.5049,1.1689,Dovish
2004-01-28,8.5973,Dovish,,8651,114,55,1.3178,0.682,Neutral
2004-03-16,7.2727,Dovish,,3559,83,45,2.3321,1.0677,Dovish
2004-08-10,5.0157,Dovish,,3452,98,47,2.8389,1.4774,Dovish
2004-09-21,4.3333,Dovish,,3652,73,36,1.9989,1.0131,Dovish
2004-11-10,3.9007,Dovish,,3614,70,33,1.9369,1.0238,Dovish
2004-12-14,4.4379,Dovish,,2063,42,22,2.0359,0.9695,Dovish
2005-02-02,3.4722,Neutral,,3367,93,33,2.7621,1.782,Dovish
2005-05-03,6.1489,Dovish,,1165,19,12,1.6309,0.6009,Dovish
2005-08-09,4.3771,Dovish,,1229,25,12,2.0342,1.0578,Dovish
2005-09-20,6.0686,Dovish,,3068,78,36,2.5424,1.369,Dovish
2005-11-01,6.0606,Dovish,,3351,71,41,2.1188,0.8953,Dovish
2005-12-13,6.1475,Dovish,,3146,81,24,2.5747,1.8118,Dovish
2006-01-31,3.0195,Neutral,,3091,81,29,2.6205,1.6823,Dovish
