date,transcript_total_words,transcript_pos,transcript_neg,transcript_lm_pct,transcript_neg_ratio,transcript_net
1994-05-17,7334,112,88,1.5271,1.1999,0.3272
1994-08-16,5580,76,42,1.362,0.7527,0.6093
1994-11-15,5304,79,49,1.4894,0.9238,0.5656
1995-02-01,6218,88,91,1.4152,1.4635,-0.0482
1995-07-06,12995,141,153,1.085,1.1774,-0.0923
1995-12-19,4491,48,50,1.0688,1.1133,-0.0445
1996-01-31,13482,214,145,1.5873,1.0755,0.5118
1996-12-17,7479,85,93,1.1365,1.2435,-0.107
1997-03-25,5035,95,49,1.8868,0.9732,0.9136
1997-07-02,13570,233,105,1.717,0.7738,0.9433
1997-09-30,29075,537,197,1.8469,0.6776,1.1694
1997-11-12,35361,530,335,1.4988,0.9474,0.5515
1998-09-29,44387,417,637,0.9395,1.4351,-0.4956
1998-11-17,35464,404,402,1.1392,1.1335,0.0056
1999-05-18,29977,467,217,1.5579,0.7239,0.834
1999-06-30,49668,681,338,1.3711,0.6805,0.6906
1999-08-24,38429,492,332,1.2803,0.8639,0.4164
1999-10-05,35686,584,254,1.6365,0.7118,0.9247
1999-11-16,36220,499,270,1.3777,0.7454,0.6322
1999-12-21,35388,431,283,1.2179,0.7997,0.4182
2000-02-02,50306,766,313,1.5227,0.6222,0.9005
2000-03-21,32372,476,215,1.4704,0.6642,0.8063
2000-05-16,33857,395,280,1.1667,0.827,0.3397
2000-06-28,42263,518,285,1.2257,0.6743,0.5513
2000-08-22,30847,428,229,1.3875,0.7424,0.6451
2000-12-19,29913,373,442,1.2469,1.4776,-0.2307
2001-01-31,1966,20,14,1.0173,0.7121,0.3052
2001-03-20,35947,420,492,1.1684,1.3687,-0.2003
2001-05-15,35379,428,504,1.2098,1.4246,-0.2148
2001-06-27,1953,47,1,2.4066,0.0512,2.3554
2001-08-21,29671,393,437,1.3245,1.4728,-0.1483
2001-09-17,3932,23,27,0.5849,0.6867,-0.1017
2001-11-06,36046,357,577,0.9904,1.6007,-0.6103
2001-12-11,36242,415,464,1.1451,1.2803,-0.1352
2002-01-30,3133,30,34,0.9575,1.0852,-0.1277
2002-03-19,38356,566,361,1.4756,0.9412,0.5345
2003-01-29,4036,13,46,0.3221,1.1397,-0.8176
2003-03-18,32668,420,531,1.2857,1.6254,-0.3398
2003-06-25,3825,20,24,0.5229,0.6275,-0.1046
2003-08-12,35262,601,285,1.7044,0.8082,0.8961
2003-09-16,34371,593,274,1.7253,0.7972,0.9281
2004-01-28,1672,12,9,0.7177,0.5383,0.1794
2004-03-16,1970,25,20,1.269,1.0152,0.2538
2004-08-10,33259,505,301,1.5184,0.905,0.6134
2004-09-21,32224,411,284,1.2754,0.8813,0.3941
2004-11-10,1491,16,11,1.0731,0.7378,0.3353
2004-12-14,1810,17,9,0.9392,0.4972,0.442
2005-02-02,3690,38,21,1.0298,0.5691,0.4607
2005-05-03,1776,25,16,1.4077,0.9009,0.5068
2005-08-09,1666,12,5,0.7203,0.3001,0.4202
2005-09-20,1805,21,27,1.1634,1.4958,-0.3324
2005-11-01,2009,24,21,1.1946,1.0453,0.1493
2005-12-13,33760,534,268,1.5818,0.7938,0.7879
2006-01-31,2383,17,14,0.7134,0.5875,0.1259
2006-03-28,1239,21,5,1.6949,0.4036,1.2914
2006-05-10,1469,34,7,2.3145,0.4765,1.838
2006-08-08,1238,11,14,0.8885,1.1309,-0.2423
2006-10-25,1684,21,24,1.247,1.4252,-0.1781
2006-12-12,2028,21,30,1.0355,1.4793,-0.4438
2007-05-09,1813,11,10,0.6067,0.5516,0.0552
2007-08-07,2107,34,33,1.6137,1.5662,0.0475
2007-09-18,2334,42,24,1.7995,1.0283,0.7712
2007-12-11,1488,34,30,2.2849,2.0161,0.2688
2008-01-29,75135,659,1257,0.8771,1.673,-0.7959
2008-03-18,1727,30,30,1.7371,1.7371,0.0
2008-04-30,6884,67,65,0.9733,0.9442,0.0291
2008-06-25,4887,41,39,0.839,0.798,0.0409
2008-10-28,59899,454,854,0.7579,1.4257,-0.6678
2008-12-16,6074,44,64,0.7244,1.0537,-0.3293
2009-01-28,4456,27,33,0.6059,0.7406,-0.1346
2009-04-29,4366,49,46,1.1223,1.0536,0.0687
2009-08-12,3070,42,16,1.3681,0.5212,0.8469
2009-09-23,4408,53,33,1.2024,0.7486,0.4537
2009-11-03,64786,657,598,1.0141,0.923,0.0911
2009-12-15,66687,722,484,1.0827,0.7258,0.3569
2010-03-16,4157,39,14,0.9382,0.3368,0.6014
2010-06-23,5857,54,63,0.922,1.0756,-0.1537
2010-08-10,2930,38,16,1.2969,0.5461,0.7509
2010-09-21,3663,53,10,1.4469,0.273,1.1739
