fomc_date,d0,d1,lm_pct,sentiment,SMFG_ar0,SMFG_ar1,SMFG_car01,SMFG_alpha,SMFG_beta,Resona_ar0,Resona_ar1,Resona_car01,Resona_alpha,Resona_beta,Chiba_ar0,Chiba_ar1,Chiba_car01,Chiba_alpha,Chiba_beta,SMTH_ar0,SMTH_ar1,SMTH_car01,SMTH_alpha,SMTH_beta,Gunma_ar0,Gunma_ar1,Gunma_car01,Gunma_alpha,Gunma_beta,Suruga_ar0,Suruga_ar1,Suruga_car01,Suruga_alpha,Suruga_beta,Yamaguchi_ar0,Yamaguchi_ar1,Yamaguchi_car01,Yamaguchi_alpha,Yamaguchi_beta,Hokuhoku_ar0,Hokuhoku_ar1,Hokuhoku_car01,Hokuhoku_alpha,Hokuhoku_beta,Mizuho_ar0,Mizuho_ar1,Mizuho_car01,Mizuho_alpha,Mizuho_beta,MUFG_ar0,MUFG_ar1,MUFG_car01,MUFG_alpha,MUFG_beta,Concordia_ar0,Concordia_ar1,Concordia_car01,Concordia_alpha,Concordia_beta
1994-05-17,1994-05-18,1994-05-19,0.0,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-08-16,1994-08-17,1994-08-18,0.7937,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-11-15,1994-11-16,1994-11-17,0.0,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-01,1995-02-02,1995-02-03,0.0,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-06,1995-07-07,1995-07-10,2.8571,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-19,1995-12-20,1995-12-21,0.0,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-31,1996-02-01,1996-02-02,5.2632,Dovish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-17,1996-12-18,1996-12-19,8.2949,Dovish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-09,1997-01-10,1997-01-13,0.9709,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-25,1997-03-26,1997-03-27,10.828,Dovish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-02,1997-07-03,1997-07-04,10.0,Dovish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,1997-10-01,1997-10-02,4.8096,Dovish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-11-12,1997-11-13,1997-11-14,5.8376,Dovish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-29,1998-09-30,1998-10-01,1.1628,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-15,1998-10-16,1998-10-19,0.0,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-17,1998-11-18,1998-11-19,-1.2346,Hawkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-18,1998-11-19,1998-11-20,0.0,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-19,1998-11-20,1998-11-24,0.0,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-18,1999-05-19,1999-05-20,16.763,Dovish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,1999-07-01,1999-07-02,15.0838,Dovish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-24,1999-08-25,1999-08-26,9.8712,Dovish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-05,1999-10-06,1999-10-07,0.8475,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-16,1999-11-17,1999-11-18,1.227,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-17,1999-11-18,1999-11-19,0.0,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-18,1999-11-19,1999-11-22,-0.5935,Hawkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-21,1999-12-22,1999-12-24,8.1871,Dovish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-02,2000-02-03,2000-02-04,1.8692,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21,2000-03-22,2000-03-23,1.3636,Neutral,0.032684098696418445,-0.0387923845756723,-0.006108285879253855,0.006018300830828025,1.2108387021234277,-0.016775979885625757,-0.047243839947149584,-0.06401981983277534,-0.004240671467739769,1.2416557004721323,-0.024312958917902416,0.00849316703817782,-0.0158197918797246,-0.0036519468586547043,0.1581374868177897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-16,2000-05-17,2000-05-18,2.3364,Neutral,0.011743783294444157,0.013453696335997804,0.02519747963044196,0.003840804142278508,1.5442167845641006,-0.01725808163387734,-0.02426331615549869,-0.04152139778937603,0.0002800867234369251,0.7937857033781884,0.013546312539809303,0.03379898872385427,0.04734530126366357,-0.0014770654829799302,0.3953842729895889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-28,2000-06-29,2000-06-30,5.4054,Dovish,0.04798839287670973,-0.011871427049890488,0.03611696582681924,0.0023538093412278386,1.363498313713531,0.019403496951066357,0.07460670773527511,0.09401020468634147,-0.0005214019828282985,0.5308218115859503,0.00018404031965251074,0.019216531174318267,0.019400571493970776,-0.0014530154954247741,0.2084764655865158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-22,2000-08-23,2000-08-24,5.8511,Dovish,0.017278670014956813,-0.001533822153204252,0.01574484786175256,0.001230034325760511,1.2070003665788755,0.029286616640753223,0.05131185367495144,0.08059847031570466,-0.000776492402831858,0.6021097386193996,-0.02074371232459946,0.006705943016058901,-0.014037769308540558,-0.0016555483517347422,0.2984315042278599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-10,2000-10-11,2000-10-12,2.407,Neutral,-0.003925949764048399,-0.021006880837399548,-0.024932830601447947,-0.0012003349214023634,1.0878256896483558,0.005625502217750544,-0.004418709833356339,0.0012067923843942056,-0.001743408166156696,0.6546494770980967,-0.0059936190090547296,-0.012751466432701915,-0.018745085441756647,0.0002475628326920481,0.29769981441213633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-19,2000-12-20,2000-12-21,11.4943,Dovish,-0.007588930067012873,-0.09666792469885185,-0.10425685476586473,-0.001970502424719508,0.8275613874719082,0.008844172723856876,-0.001700267097825725,0.007143905626031151,-0.0018703718462442617,0.6159827975927402,0.012026563418335611,0.01108304373602302,0.02310960715435863,-0.0007064872444040925,0.29392929048551303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-31,2001-02-01,2001-02-02,1.444,Neutral,-0.003753186991811642,0.01705183557952738,0.013298648587715737,-0.0025752393388249082,0.794177289081711,-0.03850790954704004,-0.0078120485197235075,-0.04631995806676355,-0.00045275920749540975,0.6103835994484107,0.010177811561198263,-0.0011609238593924662,0.009016887701805797,0.0001928390218434399,0.24049051747578853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-20,2001-03-21,2001-03-22,-1.5686,Hawkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-15,2001-05-16,2001-05-17,4.3165,Dovish,0.010907288201615729,-0.021254963565923907,-0.010347675364308178,0.0027904453871506205,0.9448750199516913,-0.0311572615623686,0.002340052379953551,-0.02881720918241505,-0.0007184503699147829,0.4833080344251721,-0.01811932566930346,0.028518385631553025,0.010399059962249567,0.0010429763266074435,0.18722051859644645,0.03990277808676573,0.00459954939986589,0.044502327486631625,0.001975451490198678,0.7514839105501412,0.009500494546399852,0.02524771048922129,0.03474820503562114,0.00020903661262050514,0.5171002392108547,0.015011591443793219,0.032609504459832746,0.04762109590362597,1.3652829698694693e-05,0.42849440202897293,0.0010649741487770634,0.004170562256921157,0.0052355364056982205,0.0017802676326133537,0.47624059660680007,0.004374175506903085,0.02605327998162139,0.030427455488524477,-0.0010673860244854764,0.12917951861896237,,,,,,,,,,,,,,,
2001-06-27,2001-06-28,2001-06-29,1.3216,Neutral,-0.029666596851369374,-0.032051899715736853,-0.06171849656710623,0.0028271423315152622,0.9375584331875597,-0.016950085285263306,0.014531800203900705,-0.0024182850813626016,-0.0018663716940765845,0.6117256517785752,-0.028322956389349594,0.017969016025236824,-0.01035394036411277,0.0007082020706119486,0.27725524102308935,0.028626654566122095,0.010360322775854674,0.03898697734197677,5.498132555736399e-05,0.7470011417654879,0.0074506156332791685,0.001491170707853321,0.00894178634113249,0.0002923884909590823,0.5193938850937455,0.019553807489546132,-0.006325393203174382,0.01322841428637175,0.00046048158238275937,0.5514606774534796,-2.7253383305708007e-05,-0.010285712340556707,-0.010312965723862415,0.0018286019765644639,0.48256612794116677,0.017055632276455606,-0.0021928990418000525,0.014862733234655553,-0.00020738541270655988,0.10525063730826864,,,,,,,,,,,,,,,
2001-08-21,2001-08-22,2001-08-23,0.8929,Neutral,0.02913694967655405,-0.004733606066532383,0.024403343610021666,0.001956086017253456,0.7426011171937162,0.000925510842320584,0.001891988597606982,0.002817499439927566,-0.0016958194871338802,0.9275607181333329,-0.0010836063667082588,-0.005768405965831697,-0.006852012332539955,-6.004966944075406e-05,0.3341104333954195,-0.0009957713982744545,0.035247733094249424,0.03425196169597497,0.0007825196455889586,0.743388543222252,-0.018226279617107863,0.0009716800561016051,-0.017254599561006258,0.0009408204377543584,0.5190715245245304,0.0382617662397273,-0.008265863694041349,0.029995902545685953,0.0021545215737071017,0.4849538430688275,0.00401584139597685,-0.0010699344390962574,0.002945906956880593,0.0009989608481180186,0.4668367006723281,-0.025956858356597702,0.0025479086168293764,-0.023408949739768325,0.0005912387145979038,0.13274128215113443,,,,,,,,,,,,,,,
2001-09-17,2001-09-18,2001-09-19,4.5833,Dovish,0.04856670142239938,-0.00824769037820463,0.040319011044194754,0.004520951914776252,0.64426124873462,-0.017376512046321124,0.028303315583775718,0.010926803537454594,-0.0006385841927076582,0.9757971760391345,0.004989198546097785,0.012959180840560728,0.01794837938665851,0.000103447811164064,0.3078255563332395,-0.013794863539351854,-0.015358944592834115,-0.029153808132185967,0.000917425314147554,0.6975132238011401,-0.010032743614774676,0.026790849038920646,0.01675810542414597,0.0014873143966740053,0.46286767433413883,-0.039837613659204026,-0.06634063302470469,-0.10617824668390871,0.0013340481644972969,0.488541567570004,-0.008678247948451661,-0.008927912814257095,-0.017606160762708756,0.0017369391562546248,0.5268416765641725,0.062110183641536865,-0.0025031665481037805,0.059607017093433086,-9.874840079336948e-06,0.09366226855431062,,,,,,,,,,,,,,,
2001-11-06,2001-11-07,2001-11-08,2.5641,Neutral,0.030094836011923993,0.0069446641565861465,0.03703950016851014,0.0026767662932435403,0.6193223531841647,-0.0037724923159432808,-0.1118375833746107,-0.11561007569055398,-0.004048683027577385,1.298923602739106,0.020367054211240007,-0.018441206824709497,0.0019258473865305104,0.0012083460055667431,0.4619990543683239,-0.024838599376715873,0.011862499567522151,-0.012976099809193722,0.0019469845360902572,0.63934612799857,-0.005817475040976884,-0.026389909093778235,-0.032207384134755115,0.0011951624574892423,0.429487428606144,0.02605788887363531,0.007754152729054292,0.0338120416026896,0.0007598840001826937,0.285271220345247,0.01428500954373579,-0.0062867183839151524,0.007998291159820637,0.0013115578160101898,0.4370307819772359,-0.000273245715946821,-0.01344737772367063,-0.013720623439617451,0.0005475890616676015,0.2782158814222804,,,,,,,,,,,,,,,
2001-12-11,2001-12-12,2001-12-13,4.6512,Dovish,-0.049688337835912456,0.04738967240334621,-0.002298665432566245,0.002435109414195634,0.6581750474985637,-0.08050882648553315,-0.07871887341558356,-0.1592276999011167,-0.004737472464917974,1.3044596395785246,0.027155419764075883,0.04635139601699336,0.07350681578106924,0.00073745825745723,0.4670140047750345,0.016236576371436957,-0.0455638752336497,-0.029327298862212744,0.0025316677379805213,0.6935829068367168,0.02076538476391417,0.03456147876706728,0.05532686353098144,0.0008200135446916288,0.5261590678820586,0.11642800522661546,0.031354349882098766,0.14778235510871424,-0.0007331181341719818,0.2908498029734738,0.004920571560553571,0.020821987262973594,0.025742558823527165,0.00135679957479812,0.47279467936443564,-0.0003317728792954361,0.009502929617068178,0.009171156737772742,0.0006869599173381509,0.29903683920537094,,,,,,,,,,,,,,,
2002-01-30,2002-01-31,2002-02-01,11.2583,Dovish,-0.007634537125016534,0.0015677002800114671,-0.006066836845005067,0.0021862980659609673,0.690042890283312,-0.005246429554790026,0.044415391946445275,0.03916896239165525,-0.0049007106898696735,1.285178918663099,-0.00404071069353183,0.02346779099347069,0.019427080299938858,0.0009654264812184324,0.38949796132389813,-0.006162293947441378,-0.01977412223117598,-0.025936416178617357,0.00025433881540462517,0.7482679065263808,-0.005771793597858312,0.022745392600114052,0.01697359900225574,0.0013402904019037946,0.561268923865149,0.001635299160520287,-0.01447573725500225,-0.012840438094481963,-0.004037557720024928,0.3042563701115858,-0.004311873547478477,-0.011571568863044723,-0.0158834424105232,0.0007169150473678572,0.45531694313995635,-0.0008956624186598574,-0.0029386483282804257,-0.003834310746940283,-0.0012785659947449181,0.27537537216327745,,,,,,,,,,,,,,,
2002-03-19,2002-03-20,2002-03-22,8.7591,Dovish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-29,2003-01-30,2003-01-31,8.5106,Dovish,-0.0096469873386805,0.012193129690868608,0.002546142352188108,-0.0018357124224249774,1.228533025361287,-0.014342402364552713,-0.003349561310540602,-0.017691963675093316,7.433124805448168e-06,1.2016779502094932,0.00022214217979310016,-0.006346499376987432,-0.006124357197194332,0.001201748691832201,0.8312632619584149,-0.00432165088452016,-0.015002989579284545,-0.019324640463804707,0.0018298699129199725,1.31224227455291,0.002409691817345503,-0.010062473666430444,-0.007652781849084941,0.0005528606007759721,0.5712812411213423,-0.0021196669665890025,-0.007386387282475863,-0.009506054249064866,-0.0005505727552456073,0.7303016134781427,-0.000456357153382888,-0.00700710682639406,-0.007463463979776948,0.0001920619075451239,0.5969174241716598,-0.009775357195689706,-0.03414993933839958,-0.04392529653408929,0.0003871369840175148,0.6644194099417048,,,,,,,,,,,,,,,
2003-03-18,2003-03-19,2003-03-20,9.3878,Dovish,0.02327377560183605,0.016102395164361225,0.039376170766197274,-0.004859553268890681,1.0803754447087266,-0.014939726937389241,-0.04080991902867018,-0.05574964596605942,-0.0013079431830205748,1.338179093871184,-0.003491447540522106,-0.01780961413122632,-0.021301061671748424,0.0007042518792213788,0.956295955179676,-0.01467113836864475,-0.018475629234234407,-0.03314676760287916,0.0012996097772773375,1.503049764923751,-0.013372635921069536,-0.006658117679035741,-0.020030753600105276,0.0001851622635664831,0.7280511043519692,-0.019921695804142985,0.013162972196146788,-0.006758723607996196,-0.0007277237286685855,0.7956257101024441,-0.006742272187094427,0.002651227406080847,-0.0040910447810135805,0.0007643715724703973,0.6932293731048368,-0.023153798593270665,-0.00684794882949143,-0.030001747422762095,0.0011678863375865075,0.9252088819908577,,,,,,,,,,,,,,,
2003-06-25,2003-06-26,2003-06-27,5.414,Dovish,0.02202781238986181,-0.030472526381060065,-0.008444713991198255,-0.004804413639258029,1.5518421102584645,0.0122133325615177,-0.03917812977546404,-0.02696479721394634,0.0006859418991585065,0.711124249679127,0.0014295526918745288,-0.015734176334803,-0.014304623642928472,0.0016910556234928484,0.8080426352916243,0.0022194106566821685,-0.0065656828244879326,-0.004346272167805764,0.002475807168842969,0.7808742951817441,0.007410953100028262,-0.009433769068312853,-0.0020228159682845913,0.0005812922472861193,0.6182351563737721,0.009308866559195664,-0.03199719276975756,-0.022688326210561893,0.0004334700508790224,0.5876590489954855,0.014015963432889739,0.006579034069731084,0.020594997502620824,-0.00017274633965104756,0.3939099300839978,0.007106315654929395,-0.005559716541649955,0.0015465991132794397,0.0021764572030544336,0.5929549489971934,0.009861227468725831,0.004235717708030776,0.014096945176756607,-0.0055453790402347795,1.0364358593962486,,,,,,,,,,
2003-08-12,2003-08-13,2003-08-14,7.7922,Dovish,0.018382546657082638,-0.001338041955799809,0.01704450470128283,-0.0016764219080170869,1.5487594197630163,0.028554137415503007,-0.004666607285669429,0.02388753012983358,0.002374520985866133,0.8209083769120106,-0.025917212368364223,0.0019687719142776616,-0.02394844045408656,-0.0005433523943348811,0.6975070573374854,-0.005361410900684954,0.06866336624134323,0.06330195534065827,0.0018968118532302297,0.8782844102482728,0.014106053581212327,0.000619238856647576,0.014725292437859902,-0.000628399825668928,0.5051878695429544,0.02443241695322918,-0.003419403180977384,0.021013013772251798,0.0007085703542244173,0.4663995132913354,-0.01805135294166848,-0.00902220773041952,-0.027073560672088,0.0010839851129481552,0.29459637005837713,0.021236526067171583,0.021735071012042282,0.042971597079213865,0.0016820201389793057,0.47531040198347074,0.021953322597960404,-0.013100715010578586,0.008852607587381819,-0.0015750383035287475,1.4576459057020612,,,,,,,,,,
2003-09-16,2003-09-17,2003-09-18,6.5789,Dovish,-0.06014291382838966,0.042058980930816614,-0.018083932897573048,-0.0004550809777591062,1.5803325340692203,0.01435528020776667,0.051692351297669074,0.06604763150543574,0.002672275608323519,0.8867896692307927,-0.004362458955586743,-0.0058574279770158685,-0.01021988693260261,-0.0009433932847561321,0.5603893110844435,-0.0510771449480301,0.03501615970025446,-0.01606098524777564,0.0025393412608340354,0.941579537562616,0.0029439577382848613,0.007306400623912537,0.010250358362197398,-0.001102895895363398,0.4367362395372521,-0.026466559816249693,0.01621491136103607,-0.010251648455213622,0.0002424001503537062,0.45165942492806993,0.00029302838847037574,-0.017096087035660252,-0.016803058647189877,0.00025064635089249565,0.15723846425204632,0.01222337418028876,-0.023099687714249563,-0.010876313533960803,0.0031159871659477553,0.37267109884295546,0.017344272959294894,0.05096276523084794,0.06830703819014283,0.000504248942822967,1.4754614181099106,,,,,,,,,,
