fomc_date,ffr_before,ffr_after,ffr_change,kuttner_surprise,scale_factor
1994-05-17,4.29,4.27,-0.020000000000000462,-0.0004428571428571531,2.2142857142857144
1994-08-16,4.5,4.35,-0.15000000000000036,-0.0031000000000000077,2.066666666666667
1994-11-15,5.48,5.59,0.10999999999999943,0.0021999999999999884,2.0
1995-02-01,5.86,5.25,-0.6100000000000003,-0.006325925925925929,1.037037037037037
1995-07-06,7.41,6.06,-1.3500000000000005,-0.016740000000000005,1.24
1995-12-19,5.76,5.63,-0.1299999999999999,-0.003358333333333331,2.5833333333333335
1996-01-31,5.37,5.71,0.33999999999999986,0.10539999999999995,31.0
1996-12-17,5.56,5.38,-0.17999999999999972,-0.00398571428571428,2.2142857142857144
1997-03-25,5.47,5.57,0.10000000000000053,0.005166666666666695,5.166666666666667
1997-07-02,6.24,5.54,-0.7000000000000002,-0.007482758620689657,1.0689655172413792
1997-09-30,5.68,5.81,0.1299999999999999,0.038999999999999965,30.0
1997-11-12,5.5,5.53,0.03000000000000025,0.0005000000000000042,1.6666666666666667
1998-09-29,5.55,5.44,-0.10999999999999943,-0.03299999999999983,30.0
1998-11-17,5.45,4.61,-0.8399999999999999,-0.01938461538461538,2.3076923076923075
1998-11-18,4.61,4.07,-0.54,-0.013500000000000002,2.5
1998-11-19,4.07,4.38,0.3099999999999996,0.008454545454545444,2.727272727272727
1999-05-18,5.01,4.64,-0.3700000000000001,-0.008823076923076927,2.3846153846153846
1999-06-30,4.91,5.12,0.20999999999999996,0.06299999999999999,30.0
1999-08-24,5.06,5.08,0.020000000000000462,0.0008857142857143062,4.428571428571429
1999-10-05,5.23,5.16,-0.07000000000000028,-0.000834615384615388,1.1923076923076923
1999-11-16,5.64,5.4,-0.23999999999999932,-0.005142857142857128,2.142857142857143
1999-11-17,5.4,5.41,0.009999999999999787,0.00023076923076922583,2.3076923076923075
1999-11-18,5.41,5.49,0.08000000000000007,0.0020000000000000018,2.5
1999-12-21,5.54,5.52,-0.020000000000000462,-0.0006200000000000143,3.1
2000-02-02,5.79,5.64,-0.15000000000000036,-0.001611111111111115,1.0740740740740742
2000-03-21,5.82,5.81,-0.010000000000000675,-0.0003100000000000209,3.1
2000-05-16,6.34,6.13,-0.20999999999999996,-0.00434,2.066666666666667
2000-06-28,6.56,6.5,-0.05999999999999961,-0.008999999999999942,15.0
2000-08-22,6.48,6.42,-0.0600000000000005,-0.0020666666666666837,3.4444444444444446
2000-12-19,6.5,6.47,-0.03000000000000025,-0.0007750000000000065,2.5833333333333335
2001-01-31,5.9,5.74,-0.16000000000000014,-0.04960000000000005,31.0
2001-03-20,5.38,5.14,-0.2400000000000002,-0.006763636363636371,2.8181818181818183
2001-05-15,4.43,4.22,-0.20999999999999996,-0.0040687499999999995,1.9375
2001-06-27,3.75,3.68,-0.06999999999999984,-0.006999999999999984,10.0
2001-08-21,3.64,3.53,-0.11000000000000032,-0.0034100000000000102,3.1
2001-09-17,3.13,2.13,-1.0,-0.023076923076923075,2.3076923076923075
2001-11-06,2.45,2.13,-0.3200000000000003,-0.0040000000000000036,1.25
2001-12-11,1.9,1.8,-0.09999999999999987,-0.001549999999999998,1.55
2002-01-30,1.78,1.78,0.0,0.0,31.0
2002-03-19,1.71,1.67,-0.040000000000000036,-0.0010333333333333342,2.5833333333333335
2003-01-29,1.23,1.26,0.030000000000000027,0.004650000000000004,15.5
2003-03-18,1.31,1.2,-0.1100000000000001,-0.002623076923076925,2.3846153846153846
2003-06-25,1.15,1.18,0.030000000000000027,0.0018000000000000017,6.0
2003-08-12,1.02,0.99,-0.030000000000000027,-0.0004894736842105268,1.631578947368421
2003-09-16,1.11,0.97,-0.14000000000000012,-0.0030000000000000027,2.142857142857143
2004-01-28,1.02,0.99,-0.030000000000000027,-0.003100000000000003,10.333333333333334
2004-03-16,1.05,0.99,-0.06000000000000005,-0.0012400000000000013,2.066666666666667
2004-08-10,1.35,1.43,0.07999999999999985,0.0011809523809523789,1.4761904761904763
2004-09-21,1.64,1.7,0.06000000000000005,0.0020000000000000018,3.3333333333333335
2004-11-10,1.79,1.92,0.1299999999999999,0.0019499999999999984,1.5
2004-12-14,2.18,2.24,0.06000000000000005,0.0010941176470588244,1.8235294117647058
2005-02-02,2.4,2.29,-0.10999999999999988,-0.0011846153846153834,1.0769230769230769
2005-05-03,2.98,2.95,-0.029999999999999805,-0.000332142857142855,1.1071428571428572
2005-08-09,3.5,3.47,-0.029999999999999805,-0.00042272727272727,1.4090909090909092
2005-09-20,3.62,3.67,0.04999999999999982,0.0014999999999999946,3.0
2005-11-01,4.02,3.99,-0.02999999999999936,-0.0003103448275862003,1.0344827586206897
2005-12-13,4.24,4.23,-0.009999999999999787,-0.00017222222222221858,1.7222222222222223
