fomc_date,file,status
2011-04-27,data/press_conf/FOMCpresconf20110427.pdf,downloaded
2011-06-22,data/press_conf/FOMCpresconf20110622.pdf,downloaded
2011-08-09,,http_404
2011-09-20,,http_404
2011-09-21,,http_404
2011-11-02,data/press_conf/FOMCpresconf20111102.pdf,downloaded
2011-12-13,,http_404
2012-01-25,data/press_conf/FOMCpresconf20120125.pdf,downloaded
2012-03-13,,http_404
2012-04-25,data/press_conf/FOMCpresconf20120425.pdf,downloaded
2012-06-20,data/press_conf/FOMCpresconf20120620.pdf,downloaded
2012-08-01,,http_404
2012-09-13,data/press_conf/FOMCpresconf20120913.pdf,downloaded
2012-10-24,,http_404
2012-12-12,data/press_conf/FOMCpresconf20121212.pdf,downloaded
2013-01-30,,http_404
2013-03-20,data/press_conf/FOMCpresconf20130320.pdf,downloaded
2013-05-01,,http_404
2013-06-19,data/press_conf/FOMCpresconf20130619.pdf,downloaded
2013-07-31,,http_404
2013-09-18,data/press_conf/FOMCpresconf20130918.pdf,downloaded
2013-10-30,,http_404
2013-12-18,data/press_conf/FOMCpresconf20131218.pdf,downloaded
2014-01-29,,http_404
2014-03-18,,http_404
2014-03-19,data/press_conf/FOMCpresconf20140319.pdf,downloaded
2014-04-30,,http_404
2014-06-17,,http_404
2014-06-18,data/press_conf/FOMCpresconf20140618.pdf,downloaded
2014-07-30,,http_404
2014-09-17,data/press_conf/FOMCpresconf20140917.pdf,downloaded
2014-10-29,,http_404
2014-12-17,data/press_conf/FOMCpresconf20141217.pdf,downloaded
2015-01-28,,http_404
2015-03-18,data/press_conf/FOMCpresconf20150318.pdf,downloaded
2015-04-29,,http_404
2015-06-17,data/press_conf/FOMCpresconf20150617.pdf,downloaded
2015-07-29,,http_404
2015-09-17,data/press_conf/FOMCpresconf20150917.pdf,downloaded
2015-10-28,,http_404
2015-12-16,data/press_conf/FOMCpresconf20151216.pdf,downloaded
2016-01-27,,http_404
2016-03-16,data/press_conf/FOMCpresconf20160316.pdf,downloaded
2016-04-27,,http_404
