rssd9001,rssd9999,htm_securities,interest_income,total_assets,total_deposits,trading_assets,risk_weighted_assets,total_equity,afs_securities,interest_expense,net_interest_income,tier1_capital,tier1_ratio,equity_capital,noninterest_income_b,report_date,ticker,tier1_ratio_computed,tier1_ratio_final,equity_ratio,nim,trading_ratio,deposit_ratio,afs_ratio,htm_ratio,tier1_yoy,nim_change
1073757.0,2000-03-31,106725000,4421000,656113000.0,651019000.0,65198000.0,530513000.0,,4759611000.0,5560000,4150000,58376000,,45299000,610814000.0,2000-03-31,BAC,0.11003688882270557,0.11003688882270557,,0.006325129969989926,0.09937007802009715,0.9922360934778003,7.254254983516559,0.16266252916799392,,
1073757.0,2000-06-30,113236000,8935000,679538000.0,672588000.0,66311000.0,543987000.0,,5105851000.0,11668000,7767000,60028000,,45861000,633677000.0,2000-06-30,BAC,0.11034822523332359,0.11034822523332359,,0.01142982438068217,0.09758247515223578,0.989772463055782,7.5137093142694,0.16663674437632628,,0.005104694410692244
1073757.0,2000-09-30,113527000,13366000,671725000.0,685017000.0,62596000.0,556145000.0,,5558583000.0,18341000,11572000,60063000,,46859000,624866000.0,2000-09-30,BAC,0.10799881325913206,0.10799881325913206,,0.0172272879526592,0.09318694406193011,1.01978785961517,8.275087275298672,0.16900815065689084,,0.005797463571977029
1073757.0,2000-12-31,107638000,17842000,642191000.0,677458000.0,58575000.0,542168000.0,,6388439000.0,24816000,15089000,59829000,,47628000,594563000.0,2000-12-31,BAC,0.1103514039928583,0.1103514039928583,,0.023496124984622956,0.09121118172008016,1.054916683665763,9.94787999208958,0.167610570686914,,0.006268837031963757
1073757.0,2001-03-31,102606000,4406000,609756000.0,648698000.0,61788000.0,533077840.0,,6693115000.0,5602000,4033000,63106000,11.84,48886000,555665000.0,2001-03-31,BAC,0.11838046015943939,11.84,,0.006614121058259369,0.1013323362131738,1.0638648902183825,10.976710356273657,0.1682738669238187,0.08102644922570912,-0.016882003926363586
1073757.0,2001-06-30,99868000,9181000,625524000.0,655557000.0,67621000.0,529159600.0,,7127328000.0,10498000,8046000,63966000,12.09,49301000,571068000.0,2001-06-30,BAC,0.120882244222726,12.09,,0.01286281581522052,0.10810296647290911,1.0480125462811978,11.394171926257027,0.15965494529386562,0.06560271873125867,0.00624869475696115
1073757.0,2001-09-30,93462000,14172000,640105000.0,642184000.0,77287000.0,522435880.0,,7821801000.0,14615000,11705000,63312000,12.12,50151000,584800000.0,2001-09-30,BAC,0.12118616355369773,12.12,,0.018286062442880464,0.12074112840862046,1.0032479046406448,12.21955929105381,0.1460104201654416,0.05409320213775537,0.0054232466276599445
1073757.0,2001-12-31,88263000,18968550,621722000.0,651755000.0,69490000.0,505952350.0,,8207192000.0,18206046,16867308,64833643,12.81,48804643,567177357.0,2001-12-31,BAC,0.1281417963569099,12.81,,0.02712998414082178,0.11177021241004823,1.0483061561276583,13.200742454022858,0.14196538002515594,0.08364911664911667,0.008843921697941317
1073757.0,2002-03-31,85969000,4940000,619921000.0,637678000.0,75689000.0,496226967.0,,8570321000.0,2718000,3670000,64157777,12.93,48169000,565975000.0,2002-03-31,BAC,0.1292911938822543,12.93,,0.005920109175201357,0.12209458947188433,1.0286439723771255,13.824859941831297,0.13867734759751646,0.016666830412322087,-0.021209874965620424
1073757.0,2002-06-30,73259000,9862000,638448000.0,646599000.0,87805000.0,508007334.0,,9036965000.0,5608000,7342000,63108004,12.42,47764000,584854000.0,2002-06-30,BAC,0.12422656087087121,12.42,,0.011499761922662456,0.13752881988822896,1.0127668972257724,14.154582675488058,0.11474544520462121,-0.01341331332270268,0.005579652747461099
1073757.0,2002-09-30,72522000,14998000,660007000.0,669149000.0,88855000.0,513083822.0,,10389081000.0,8491000,10745000,63504072,12.38,48239000,605430000.0,2002-09-30,BAC,0.12376939064744084,12.38,,0.016280130362253734,0.13462736001284833,1.013851368243064,15.740864869615018,0.10988065278095535,0.0030337376800606553,0.004780368439591278
1073757.0,2002-12-31,71701000,19404000,660499000.0,695509000.0,95829000.0,523161865.0,,10910754000.0,11739000,15652000,66076000,12.63,51200000,602965000.0,2002-12-31,BAC,0.12630125477513543,12.63,,0.02369723496931865,0.14508576091712477,1.053005379266282,16.518956122567936,0.10855580402089934,0.01916222724057004,0.0074171046070649164
1073757.0,2003-03-31,69358000,5052000,679765000.0,713299000.0,98263000.0,534378498.0,,11767978000.0,2516000,3853000,65688000,12.29,50052000,623549000.0,2003-03-31,BAC,0.12292410762380637,12.29,,0.005668135311467933,0.14455436805366562,1.0493317543562848,17.31183276573522,0.10203231999293874,0.023850935483628044,-0.018029099657850718
1073757.0,2003-06-30,64418000,10380000,769179000.0,774644000.0,105484000.0,559324165.0,,12092203000.0,5146000,8163000,66844000,11.95,51016000,711976000.0,2003-06-30,BAC,0.11950851435142266,11.95,,0.010612614228937608,0.13713842941629972,1.0071049781650305,15.720921918045084,0.08374903631014367,0.059200034277743896,0.004944478917469674
1073757.0,2003-09-30,61708000,15567000,736935000.0,785681000.0,102099000.0,558471560.0,,12186488000.0,7694000,12731000,67990000,12.17,50445000,680300000.0,2003-09-30,BAC,0.12174299439706474,12.17,,0.017275607753736762,0.1385454619471188,1.0661469464742481,16.536720334900636,0.08373601470957412,0.07064000557318595,0.0066629935247991545
1073757.0,2003-12-31,60868848,19922871,736382656.0,780503316.0,105365495.0,561151765.0,,13131638057.0,10742731,17564771,67614979,12.05,48656811,681543111.0,2003-12-31,BAC,0.12049321274076363,12.05,,0.023852776619442812,0.14308524805885706,1.0599153981160578,17.832628118009342,0.08265926350117621,0.023291043646709753,0.00657716886570605
1073757.0,2004-03-31,54481268,5633971,819841647.0,849625257.0,113092147.0,588771428.0,,13028279224.0,2771299,3780167,67485996,11.46,48775807,770917969.0,2004-03-31,BAC,0.1146217237973715,11.46,,0.004610850173118858,0.13794389125489254,1.0363284911287265,15.891214201759135,0.06645340377542445,0.02737175739861164,-0.019241926446323953
